,LCLid,Date,KWH,cloud_cover,sunshine,global_radiation,maximum_temp,mean_temp,minumum_temp,precipitation,pressure,snow_depth
0,MAC000002,01/01/2022,10.8,4,0.1,14,2.3,-1.8,-4.6,0.0,101400,0
1,MAC000002,02/01/2022,13.3,2,6.7,51,10.9,-1.8,-6.0,0.2,102440,0
2,MAC000002,03/01/2022,10.074,8,0.0,13,9.7,2.6,-5.7,9.9,101850,0
3,MAC000002,04/01/2022,9.857,5,3.8,39,8.0,5.2,0.8,0.0,100510,0
4,MAC000002,05/01/2022,11.171,4,1.0,23,8.4,4.8,1.6,0.0,100660,0
5,MAC000002,06/01/2022,10.293,6,3.2,36,6.5,5.8,3.3,0.0,101120,0
6,MAC000002,07/01/2022,9.439,6,0.7,21,5.0,5.2,3.9,0.0,101730,0
7,MAC000002,08/01/2022,11.64,7,0.0,13,4.9,3.8,2.6,0.1,102230,0
8,MAC000002,09/01/2022,15.259,6,0.4,19,3.9,2.6,0.3,0.0,101980,0
9,MAC000002,10/01/2022,10.74,6,0.0,14,3.6,2.7,1.5,0.0,102890,0
10,MAC000002,11/01/2022,10.979,6,0.7,22,2.5,1.6,-0.3,0.0,103860,0
11,MAC000002,12/01/2022,10.586,4,0.0,14,3.0,0.4,-1.8,0.0,104280,0
12,MAC000002,13/01/2022,10.36,2,5.9,52,0.8,0.2,-2.6,0.0,103670,0
13,MAC000002,14/01/2022,12.273,7,2.9,38,3.8,-1.5,-3.8,0.0,102090,0
14,MAC000002,15/01/2022,9.83,7,0.1,17,5.5,-0.1,-4.0,0.1,101540,0
15,MAC000002,16/01/2022,14.408,4,2.5,36,4.6,3.0,0.5,0.0,102000,0
16,MAC000002,17/01/2022,9.857,4,6.3,57,2.0,2.4,0.2,0.0,101940,0
17,MAC000002,18/01/2022,16.922,7,0.0,15,4.8,1.2,0.5,0.0,101220,0
18,MAC000002,19/01/2022,15.742,8,0.0,16,6.7,1.8,-1.2,0.4,100550,0
19,MAC000002,20/01/2022,11.53,4,3.7,45,8.8,4.2,1.6,7.9,100470,0
20,MAC000002,21/01/2022,12.666,7,0.7,25,9.1,4.8,0.8,2.3,98930,0
21,MAC000002,22/01/2022,10.87,4,4.8,53,9.1,6.4,3.7,0.3,98960,0
22,MAC000002,23/01/2022,10.99,5,6.3,61,8.0,6.1,3.1,0.0,99430,0
23,MAC000002,24/01/2022,12.124,1,7.1,66,8.0,3.5,-1.0,0.0,100300,0
24,MAC000002,25/01/2022,11.26,2,6.6,64,5.1,3.1,-1.8,0.0,101770,0
25,MAC000002,26/01/2022,16.348,3,2.9,44,3.2,1.6,-1.8,0.0,102730,0
26,MAC000002,27/01/2022,11.466,4,0.6,26,6.1,-0.5,-4.2,0.0,103100,0
27,MAC000002,28/01/2022,9.907,7,0.1,20,9.0,1.6,-3.0,0.0,102310,0
28,MAC000002,29/01/2022,9.886,8,0.4,25,11.4,6.0,3.0,0.2,101610,0
29,MAC000002,30/01/2022,10.297,6,4.2,55,10.1,7.6,3.9,5.0,100480,0
30,MAC000002,31/01/2022,9.208,7,0.7,29,8.5,8.2,6.2,3.3,98510,0
31,MAC000002,01/08/2022,7.92,5,6.1,205,21.6,18.6,14.1,0.0,100070,0
32,MAC000002,02/08/2022,8.847,5,5.3,192,20.0,17.8,14.0,1.0,100530,0
33,MAC000002,03/08/2022,7.746,6,4.2,174,21.6,17.0,14.0,3.0,101320,0
34,MAC000002,04/08/2022,9.085,6,7.2,219,22.5,17.9,14.2,0.0,102030,0
35,MAC000002,05/08/2022,9.564,6,9.7,251,24.8,17.0,11.4,0.0,101900,0
36,MAC000002,06/08/2022,8.745,6,5.5,192,23.1,19.2,13.6,0.2,101360,0
37,MAC000002,07/08/2022,8.784,7,3.2,153,20.1,19.6,16.1,0.0,100740,0
38,MAC000002,08/08/2022,8.303,6,2.7,144,20.1,15.7,11.3,11.0,101090,0
39,MAC000002,09/08/2022,9.381,6,3.3,154,20.0,16.6,13.0,3.1,100340,0
40,MAC000002,10/08/2022,8.562,6,5.5,188,23.6,15.0,9.9,0.3,101470,0
41,MAC000002,11/08/2022,8.567,6,5.5,187,25.0,19.3,15.0,0.9,101570,0
42,MAC000002,12/08/2022,8.021,6,1.5,116,21.5,20.6,16.3,0.0,101800,0
43,MAC000002,13/08/2022,7.709,8,0.2,79,20.4,19.2,16.9,1.2,101450,0
44,MAC000002,14/08/2022,9.252,6,8.1,220,21.3,18.6,16.7,0.0,100190,0
45,MAC000002,15/08/2022,10.068,4,9.1,232,21.0,16.0,10.7,0.0,101210,0
46,MAC000002,16/08/2022,9.098,5,6.2,192,18.3,15.4,9.8,5.8,101370,0
47,MAC000002,17/08/2022,8.702,7,0.7,93,18.2,16.0,13.7,2.3,100550,0
48,MAC000002,18/08/2022,8.464,7,0.1,72,19.8,15.4,12.7,0.0,101440,0
49,MAC000002,19/08/2022,8.498,6,0.6,89,22.8,16.6,13.4,0.0,101680,0
50,MAC000002,20/08/2022,8.225,6,6.4,190,19.8,17.4,11.9,2.3,101820,0
51,MAC000002,21/08/2022,9.566,5,9.9,233,19.6,16.6,13.4,0.2,101480,0
52,MAC000002,22/08/2022,8.019,4,8.1,210,16.1,14.8,10.0,0.0,101380,0
53,MAC000002,23/08/2022,8.18,4,5.4,173,16.9,12.4,8.8,2.1,100820,0
54,MAC000002,24/08/2022,8.955,6,2.7,130,18.3,13.3,9.7,0.0,100940,0
55,MAC000002,25/08/2022,8.91,6,2.5,126,18.7,13.2,8.0,0.0,101080,0
56,MAC000002,26/08/2022,8.058,5,7.4,196,17.4,14.6,10.5,0.0,101520,0
57,MAC000002,27/08/2022,10.4,4,8.3,205,21.8,13.4,9.4,0.0,102080,0
58,MAC000002,28/08/2022,7.937,0,12.5,251,23.9,13.8,5.7,0.0,102530,0
59,MAC000002,29/08/2022,9.9,4,12.0,244,26.0,16.4,9.0,0.0,102560,0
60,MAC000002,30/08/2022,8.046,3,10.6,227,23.1,18.8,11.7,0.0,102090,0
61,MAC000002,31/08/2022,8.538,6,0.8,86,22.8,18.0,13.0,0.0,102000,0
