Date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
01/01/2022,4,0.1,14,2.3,-1.8,-4.6,0,101400,0
02/01/2022,2,6.7,51,10.9,-1.8,-6,0.2,102440,0
03/01/2022,8,0,13,9.7,2.6,-5.7,9.9,101850,0
04/01/2022,5,3.8,39,8,5.2,0.8,0,100510,0
05/01/2022,4,1,23,8.4,4.8,1.6,0,100660,0
06/01/2022,6,3.2,36,6.5,5.8,3.3,0,101120,0
07/01/2022,6,0.7,21,5,5.2,3.9,0,101730,0
08/01/2022,7,0,13,4.9,3.8,2.6,0.1,102230,0
09/01/2022,6,0.4,19,3.9,2.6,0.3,0,101980,0
10/01/2022,6,0,14,3.6,2.7,1.5,0,102890,0
11/01/2022,6,0.7,22,2.5,1.6,-0.3,0,103860,0
12/01/2022,4,0,14,3,0.4,-1.8,0,104280,0
13/01/2022,2,5.9,52,0.8,0.2,-2.6,0,103670,0
14/01/2022,7,2.9,38,3.8,-1.5,-3.8,0,102090,0
15/01/2022,7,0.1,17,5.5,-0.1,-4,0.1,101540,0
16/01/2022,4,2.5,36,4.6,3,0.5,0,102000,0
17/01/2022,4,6.3,57,2,2.4,0.2,0,101940,0
18/01/2022,7,0,15,4.8,1.2,0.5,0,101220,0
19/01/2022,8,0,16,6.7,1.8,-1.2,0.4,100550,0
20/01/2022,4,3.7,45,8.8,4.2,1.6,7.9,100470,0
21/01/2022,7,0.7,25,9.1,4.8,0.8,2.3,98930,0
22/01/2022,4,4.8,53,9.1,6.4,3.7,0.3,98960,0
23/01/2022,5,6.3,61,8,6.1,3.1,0,99430,0
24/01/2022,1,7.1,66,8,3.5,-1,0,100300,0
25/01/2022,2,6.6,64,5.1,3.1,-1.8,0,101770,0
26/01/2022,3,2.9,44,3.2,1.6,-1.8,0,102730,0
27/01/2022,4,0.6,26,6.1,-0.5,-4.2,0,103100,0
28/01/2022,7,0.1,20,9,1.6,-3,0,102310,0
29/01/2022,8,0.4,25,11.4,6,3,0.2,101610,0
30/01/2022,6,4.2,55,10.1,7.6,3.9,5,100480,0
31/01/2022,7,0.7,29,8.5,8.2,6.2,3.3,98510,0
01/08/2022,5,6.1,205,21.6,18.6,14.1,0,100070,0
02/08/2022,5,5.3,192,20,17.8,14,1,100530,0
03/08/2022,6,4.2,174,21.6,17,14,3,101320,0
04/08/2022,6,7.2,219,22.5,17.9,14.2,0,102030,0
05/08/2022,6,9.7,251,24.8,17,11.4,0,101900,0
06/08/2022,6,5.5,192,23.1,19.2,13.6,0.2,101360,0
07/08/2022,7,3.2,153,20.1,19.6,16.1,0,100740,0
08/08/2022,6,2.7,144,20.1,15.7,11.3,11,101090,0
09/08/2022,6,3.3,154,20,16.6,13,3.1,100340,0
10/08/2022,6,5.5,188,23.6,15,9.9,0.3,101470,0
11/08/2022,6,5.5,187,25,19.3,15,0.9,101570,0
12/08/2022,6,1.5,116,21.5,20.6,16.3,0,101800,0
13/08/2022,8,0.2,79,20.4,19.2,16.9,1.2,101450,0
14/08/2022,6,8.1,220,21.3,18.6,16.7,0,100190,0
15/08/2022,4,9.1,232,21,16,10.7,0,101210,0
16/08/2022,5,6.2,192,18.3,15.4,9.8,5.8,101370,0
17/08/2022,7,0.7,93,18.2,16,13.7,2.3,100550,0
18/08/2022,7,0.1,72,19.8,15.4,12.7,0,101440,0
19/08/2022,6,0.6,89,22.8,16.6,13.4,0,101680,0
20/08/2022,6,6.4,190,19.8,17.4,11.9,2.3,101820,0
21/08/2022,5,9.9,233,19.6,16.6,13.4,0.2,101480,0
22/08/2022,4,8.1,210,16.1,14.8,10,0,101380,0
23/08/2022,4,5.4,173,16.9,12.4,8.8,2.1,100820,0
24/08/2022,6,2.7,130,18.3,13.3,9.7,0,100940,0
25/08/2022,6,2.5,126,18.7,13.2,8,0,101080,0
26/08/2022,5,7.4,196,17.4,14.6,10.5,0,101520,0
27/08/2022,4,8.3,205,21.8,13.4,9.4,0,102080,0
28/08/2022,0,12.5,251,23.9,13.8,5.7,0,102530,0
29/08/2022,4,12,244,26,16.4,9,0,102560,0
30/08/2022,3,10.6,227,23.1,18.8,11.7,0,102090,0
31/08/2022,6,0.8,86,22.8,18,13,0,102000,0
